model,r2_top20_dissimilar,r2_all
XGB,0.6840502483458124,0.7931482856503983
LinReg,0.6547573719618256,0.7792881864668193
SVR,0.6448089424911851,0.7578177898564824
RandFor,0.6388810288476141,0.7485191859700273
DesTree,0.5083350304563038,0.6374025446178183
