,r2_all,r2_all,r2_all,r2_all,r2_all,r2_top20_dissimilar,r2_top20_dissimilar,r2_top20_dissimilar,r2_top20_dissimilar,r2_top20_dissimilar,mean_max_sim_val_to_train,mean_max_sim_val_to_train,mean_max_sim_val_to_train,mean_max_sim_val_to_train,mean_max_sim_val_to_train,mean_max_sim_top20,mean_max_sim_top20,mean_max_sim_top20,mean_max_sim_top20,mean_max_sim_top20
,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max,mean,std,median,min,max
model,,,,,,,,,,,,,,,,,,,,
DesTree,0.6374025446178183,0.1114306826714446,0.6390221615841913,0.3281254673849514,0.8319176510491473,0.5083350304563038,0.2498521093958049,0.49131130737639245,-0.38724169453198276,0.8429091280008789,0.4765792774081804,0.020301674243435527,0.4745758463401316,0.43535333561544376,0.5143126615198711,0.34571269055281084,0.01921766648734059,0.3449166801474196,0.3132088981536655,0.3904230503869156
LinReg,0.7792881864668193,0.09468454785164251,0.8020320791348918,0.5207870133091679,0.8996189181650354,0.6547573719618256,0.2802634585823159,0.7471927333358228,-0.5228145169306102,0.9087801754309331,0.4765792774081804,0.020301674243435527,0.4745758463401316,0.43535333561544376,0.5143126615198711,0.34571269055281084,0.01921766648734059,0.3449166801474196,0.3132088981536655,0.3904230503869156
RandFor,0.7485191859700273,0.0785763425378769,0.7402293408745628,0.5092009056969855,0.8690550047690564,0.6388810288476141,0.24319164653040873,0.6736879791915371,-0.38528185846788143,0.9018271045358146,0.4765792774081804,0.020301674243435527,0.4745758463401316,0.43535333561544376,0.5143126615198711,0.34571269055281084,0.01921766648734059,0.3449166801474196,0.3132088981536655,0.3904230503869156
SVR,0.7578177898564824,0.08193641557624788,0.7584500896015695,0.5762156967103547,0.887176270377261,0.6448089424911851,0.24537386082804455,0.6811161644167096,-0.4157521958356569,0.9291917804257446,0.4765792774081804,0.020301674243435527,0.4745758463401316,0.43535333561544376,0.5143126615198711,0.34571269055281084,0.01921766648734059,0.3449166801474196,0.3132088981536655,0.3904230503869156
XGB,0.7931482856503983,0.0774417223444163,0.7972605907440689,0.6076575119171179,0.9201803403613614,0.6840502483458124,0.28570883036426326,0.7566097676764422,-0.6315912033718705,0.9347174464641201,0.4765792774081804,0.020301674243435527,0.4745758463401316,0.43535333561544376,0.5143126615198711,0.34571269055281084,0.01921766648734059,0.3449166801474196,0.3132088981536655,0.3904230503869156
