CAS	SMILES	InChi	InChiKey	EA, eV	BG, eV
51762-67-5	[O-][N+](=O)c1cccc(C#N)c1C#N	InChI=1S/C8H3N3O2/c9-4-6-2-1-3-8(11(12)13)7(6)5-10/h1-3H	UZJZIZFCQFZDHP-UHFFFAOYSA-N	2,29	4,87
4248-33-3	[O-][N+](=O)c1ccc(cc1[N+]([O-])=O)C#N	InChI=1S/C7H3N3O4/c8-4-5-1-2-6(9(11)12)7(3-5)10(13)14/h1-3H	QXFXDEHCVXHEBX-UHFFFAOYSA-N	2,57	4,79
2826-30-4	[O-][N+](=O)c1ccccc1C=C(C#N)C#N	InChI=1S/C10H5N3O2/c11-6-8(7-12)5-9-3-1-2-4-10(9)13(14)15/h1-5H	QGESGQINLPXOJL-UHFFFAOYSA-N	2,52	4,35
3702-88-3	C1=CC2=NO[N+](=C2C=C1[N+](=O)[O-])[O-]	InChI=1S/C6H3N3O4/c10-8(11)4-1-2-5-6(3-4)9(12)13-7-5/h1-3H	HZJXIOCJWZTHSY-UHFFFAOYSA-N	2,38	3,30
5128-28-9	[O-][N+](=O)c1cc(c2no[n+]([O-])c2c1)[N+]([O-])=O	InChI=1S/C6H2N4O6/c11-8(12)3-1-4(9(13)14)6-5(2-3)10(15)16-7-6/h1-2H	YHBBUAULQKLKMW-UHFFFAOYSA-N	3,16	3,20
606-33-7	[O-][N+](=O)c1cc2C(=O)NC(=O)Nc2c(c1)[N+]([O-])=O	InChI=1S/C8H4N4O6/c13-7-4-1-3(11(15)16)2-5(12(17)18)6(4)9-8(14)10-7/h1-2H,(H2,9,10,13,14)	COWHVSLHGUONGN-UHFFFAOYSA-N	2,53	4,20
100-21-0	OC(=O)c1ccc(cc1)C(O)=O	InChI=1S/C8H6O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H,(H,9,10)(H,11,12)	KKEYFWRCBNTPAC-UHFFFAOYSA-N	1,14	5,21
NA (548-93-6 — neutral)	C1=CC(=C(C(=C1)[O-])N)C(=O)O	InChI=1S/C7H7NO3/c8-6-4(7(10)11)2-1-3-5(6)9/h1-3,9H,8H2,(H,10,11)/p-1	WJXSWCUQABXPFS-UHFFFAOYSA-M	2,08	2,03
19183-14-3	C1=NC(=C(N1)[N+](=O)[O-])[N+](=O)[O-]	InChI=1S/C3H2N4O4/c8-6(9)2-3(7(10)11)5-1-4-2/h1H,(H,4,5)	CCRNCEKMSVYFLU-UHFFFAOYSA-N	2,14	4,65
16408-06-3	C1=C(C=C(C2=NSN=C21)[N+](=O)[O-])[N+](=O)[O-]	InChI=1S/C6H2N4O4S/c11-9(12)3-1-4-6(8-15-7-4)5(2-3)10(13)14/h1-2H	BYLOIWCTRDPRTP-UHFFFAOYSA-N	2,73	4,13
N/A	C1=C(C=C(C2=C1N[N+]3=C4C=C(C=C(C4=NN23)[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-]	InChI=1S/C12H5N8O8/c21-17(22)5-1-7-12(10(4-5)20(27)28)16-14-11-8(15(16)13-7)2-6(18(23)24)3-9(11)19(25)26/h1-4,13H/q+1	KYNAZHJNRHDYLJ-UHFFFAOYSA-N	3,27	3,02
98027-99-7	C1=C(C(=C(N=C1[N+](=O)[O-])[N+](=O)[O-])O)[N+](=O)[O-]	InChI=1S/C5H2N4O7/c10-4-2(7(11)12)1-3(8(13)14)6-5(4)9(15)16/h1,10H	QFGZBGIZUAPDSC-UHFFFAOYSA-N	3,08	4,11
37841-25-1	C1=C(C=C(C(=C1[N+](=O)[O-])C#N)[N+](=O)[O-])[N+](=O)[O-]	InChI=1S/C7H2N4O6/c8-3-5-6(10(14)15)1-4(9(12)13)2-7(5)11(16)17/h1-2H	XBQUNNGYNBKOCN-UHFFFAOYSA-N	3,15	4,75
N/A	CC1=CC2=C(C=C1)C3=C(C2=O)C(=CC=C3)C(=O)[O-]	InChI=1S/C15H10O3/c1-8-5-6-9-10-3-2-4-11(15(17)18)13(10)14(16)12(9)7-8/h2-7H,1H3,(H,17,18)/p-1	NZFCEQWXUDQEIS-UHFFFAOYSA-M	3,25	3,51
31551-45-8	C1=CC2=C(C=C1[N+](=O)[O-])C(=O)C3=C2C=CC(=C3)[N+](=O)[O-] 	InChI=1S/C13H6N2O5/c16-13-11-5-7(14(17)18)1-3-9(11)10-4-2-8(15(19)20)6-12(10)13/h1-6H  	HDVGAFBXTXDYIB-UHFFFAOYSA-N	2,64	3,93
129-79-3	C1=CC2=C(C=C1[N+](=O)[O-])C(=O)C3=C2C(=CC(=C3)[N+](=O)[O-])[N+](=O)[O-]	InChI=1S/C13H5N3O7/c17-13-9-3-6(14(18)19)1-2-8(9)12-10(13)4-7(15(20)21)5-11(12)16(22)23/h1-5H 	VHQGURIJMFPBKS-UHFFFAOYSA-N  	3,10	3,95
N/A	C1(=NON=C1N[N+](=O)[O-])N[N+](=O)[O-]  	InChI=1S/C2H2N6O5/c9-7(10)3-1-2(4-8(11)12)6-13-5-1/h(H,3,5)(H,4,6)	SGKIIOORAXZEKD-UHFFFAOYSA-N	4,67	2,30
71-43-2	c1ccccc1	InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H	UHOVQNZJYSORNB-UHFFFAOYSA-N	-1,34	6,65
109-97-7	[nH]1cccc1	InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H	KAESVJOAVNADME-UHFFFAOYSA-N	-1,21	5,98
110-00-9	o1cccc1	InChI=1S/C4H4O/c1-2-4-5-3-1/h1-4H	YLQBMQCUIZJEEH-UHFFFAOYSA-N	-1,52	6,44
118-75-2	ClC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl	InChI=1S/C6Cl4O2/c7-1-2(8)6(12)4(10)3(9)5(1)11	UGNWTBMOAKPKBL-UHFFFAOYSA-N	2,93	3,44
17422-32-1	Clc1ccc2[nH]ccc2c1	InChI=1S/C8H6ClN/c9-7-1-2-8-6(5-7)3-4-10-8/h1-5,10H	MYTGFBZJLDLWQG-UHFFFAOYSA-N	-0,67	5,16
527-21-9	FC1=C(F)C(=O)C(=C(F)C1=O)F	InChI=1S/C6F4O2/c7-1-2(8)6(12)4(10)3(9)5(1)11	JKLYZOGJWVAIQS-UHFFFAOYSA-N	2,90	3,90
488-48-2	BrC1=C(Br)C(=O)C(=C(Br)C1=O)Br	InChI=1S/C6Br4O2/c7-1-2(8)6(12)4(10)3(9)5(1)11	LWHDQPLUIFIFFT-UHFFFAOYSA-N	2,94	3,27
399-52-0	Fc1ccc2[nH]ccc2c1	InChI=1S/C8H6FN/c9-7-1-2-8-6(5-7)3-4-10-8/h1-5,10H	ODFFPRGJZRXNHZ-UHFFFAOYSA-N	-0,97	5,17
10075-50-0	Brc1ccc2[nH]ccc2c1	InChI=1S/C8H6BrN/c9-7-1-2-8-6(5-7)3-4-10-8/h1-5,10H	VXWVFZFZYXOBTA-UHFFFAOYSA-N	0,08	5,16
