CAS	SMILES	InChi	InChiKey	EA, eV	BG, eV
23784-96-5	ClCc1sc(Cl)cc1	InChI=1S/C5H4Cl2S/c6-3-4-1-2-5(7)8-4/h1-2H,3H2	MQTKXCOGYOYAMW-UHFFFAOYSA-N	1,38	5,17
1003-31-2	N#Cc1sccc1	InChI=1S/C5H3NS/c6-4-5-2-1-3-7-5/h1-3H	CUPOOAWTRIURFT-UHFFFAOYSA-N	0,22	5,30
527-69-5	ClC(=O)c1occc1	InChI=1S/C5H3ClO2/c6-5(7)4-2-1-3-8-4/h1-3H	OFTKFKYVSBNYEC-UHFFFAOYSA-N	0,70	5,04
6047-91-2	O=C(C#N)c1occc1	InChI=1S/C6H3NO2/c7-4-5(8)6-2-1-3-9-6/h1-3H	BITJKGFKDMCINV-UHFFFAOYSA-N	1,37	4,55
13466-38-1	BrC1=CNC(=O)C=C1	InChI=1S/C5H4BrNO/c6-4-1-2-5(8)7-3-4/h1-3H,(H,7,8)	NDMZZQRNZFWMEZ-UHFFFAOYSA-N	0,23	4,52
5718-88-7	O=C1NC(=O)\C(S1)=C\c2occc2	InChI=1S/C8H5NO3S/c10-7-6(13-8(11)9-7)4-5-2-1-3-12-5/h1-4H,(H,9,10,11)/b6-4-	OZIVFRZKBDVKEO-XQRVVYSFSA-N	1,27	3,71
16136-52-0	N#Cc1cccc2[nH]ccc12	InChI=1S/C9H6N2/c10-6-7-2-1-3-9-8(7)4-5-11-9/h1-5,11H	CEUFGDDOMXCXFW-UHFFFAOYSA-N	0,13	4,66
31125-07-2	C1=CC(=CC=C1C#N)N=O	InChI=1S/C7H4N2O/c8-5-6-1-3-7(9-10)4-2-6/h1-4H	UBLUNBIUDODHRO-UHFFFAOYSA-N	2,12	3,10
139152-08-2	C1=C(C(=CC(=C1Cl)Cl)C#N)C#N	InChI=1S/C8H2Cl2N2/c9-7-1-5(3-11)6(4-12)2-8(7)10/h1-2H	SRIJSZQFAMLVQV-UHFFFAOYSA-N	1,53	4,96
623-00-7	Brc1ccc(cc1)C#N	InChI=1S/C7H4BrN/c8-7-3-1-6(5-9)2-4-7/h1-4H	HQSCPPCMBMFJJN-UHFFFAOYSA-N	0,44	5,34
455-15-2	C[S](=O)(=O)c1ccc(F)cc1	InChI=1S/C7H7FO2S/c1-11(9,10)7-4-2-6(8)3-5-7/h2-5H,1H3	DPJHZJGAGIWXTD-UHFFFAOYSA-N	0,14	6,21
100-47-0	N#Cc1ccccc1	InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H	JFDZBHWFFUWGJE-UHFFFAOYSA-N	0,09	5,81
100-54-9	N#Cc1cccnc1	InChI=1S/C6H4N2/c7-4-6-2-1-3-8-5-6/h1-3,5H	GZPHSAQLYPIAIN-UHFFFAOYSA-N	0,44	5,72
10445-91-7	C1=CN=CC=C1CCl	InChI=1S/C6H6ClN/c7-5-6-1-3-8-4-2-6/h1-4H,5H2	WZIYCIBURCPKAR-UHFFFAOYSA-N	1,09	5,75
55644-07-0	N#Cc1nonc1C#N	InChI=1S/C4N4O/c5-1-3-4(2-6)8-9-7-3	BTZCEZGZARPAIA-UHFFFAOYSA-N	1,84	6,13
91-15-6	N#Cc1ccccc1C#N	InChI=1S/C8H4N2/c9-5-7-3-1-2-4-8(7)6-10/h1-4H	XQZYPMVTSDWCCE-UHFFFAOYSA-N	1,06	5,42
2893-33-6	N#Cc1cccc(n1)C#N	InChI=1S/C7H3N3/c8-4-6-2-1-3-7(5-9)10-6/h1-3H	XNPMXMIWHVZGMJ-UHFFFAOYSA-N	1,14	5,62
30757-50-7	C1=CC(=C(C=C1O)C#N)C#N	InChI=1S/C8H4N2O/c9-4-6-1-2-8(11)3-7(6)5-10/h1-3,11H	FTVOPKROFUTOKY-UHFFFAOYSA-N	0,99	4,97
491-38-3	O=C1C=COc2ccccc12	InChI=1S/C9H6O2/c10-8-5-6-11-9-4-2-1-3-7(8)9/h1-6H	OTAFHZMPRISVEM-UHFFFAOYSA-N	0,32	5,01
91-64-5	O=C1Oc2ccccc2C=C1	InChI=1S/C9H6O2/c10-9-6-5-7-3-1-2-4-8(7)11-9/h1-6H	ZYGHJZDHTFUPRJ-UHFFFAOYSA-N	0,68	4,61
32278-54-9	C1=CN=C2N(C1=O)C=CS2	InChI=1S/C6H4N2OS/c9-5-1-2-7-6-8(5)3-4-10-6/h1-4H	UEZROEGYRDHMRV-UHFFFAOYSA-N	0,23	4,61
78593-40-5	C#CC1=CC2=CC=CC=C2N=C1	InChI=1S/C11H7N/c1-2-9-7-10-5-3-4-6-11(10)12-8-9/h1,3-8H	ASBDHAOKWPWQMZ-UHFFFAOYSA-N	0,57	4,54
613-46-7	N#Cc1ccc2ccccc2c1	InChI=1S/C11H7N/c12-8-9-5-6-10-3-1-2-4-11(10)7-9/h1-7H	AZKDTTQQTKDXLH-UHFFFAOYSA-N	0,64	4,56
24294-89-1	C12=NON=C1NC(=O)C(=O)N2	InChI=1S/C4H2N4O3/c9-3-4(10)6-2-1(5-3)7-11-8-2/h(H,5,7,9)(H,6,8,10)	AFJDXTDPQNIWOX-UHFFFAOYSA-N	1,31	5,09
1198-30-7	N#Cc1nccc2ccccc12	InChI=1S/C10H6N2/c11-7-10-9-4-2-1-3-8(9)5-6-12-10/h1-6H	HJHXYSBRTVFEDD-UHFFFAOYSA-N	1,07	4,41
4733-50-0	Oc1ccc(O)c(C#N)c1C#N	InChI=1S/C8H4N2O2/c9-3-5-6(4-10)8(12)2-1-7(5)11/h1-2,11-12H	MPAIWVOBMLSHQA-UHFFFAOYSA-N	1,09	4,35
2602-85-9	C1=CC=C2C(=C1)N=C(S2)C#N	InChI=1S/C8H4N2S/c9-5-8-10-6-3-1-2-4-7(6)11-8/h1-4H	UYHQUNLVWOAJQW-UHFFFAOYSA-N	1,05	4,69
487-21-8	O=C1NC(=O)c2nccnc2N1	InChI=1S/C6H4N4O2/c11-5-3-4(8-2-1-7-3)9-6(12)10-5/h1-2H,(H2,8,9,10,11,12)	UYEUUXMDVNYCAM-UHFFFAOYSA-N	1,27	4,71
15119-34-3	O=C1Oc2ccccc2C=C1C#N	InChI=1S/C10H5NO2/c11-6-8-5-7-3-1-2-4-9(7)13-10(8)12/h1-5H	QKJALQPLNMEDAV-UHFFFAOYSA-N	1,60	4,25
217491-04-8	C1=CC2=NON=C2C3=C1N=NC=C3	InChI=1S/C8H4N4O/c1-2-7-8(12-13-11-7)5-3-4-9-10-6(1)5/h1-4H	ROYWDHJBGXPIPF-UHFFFAOYSA-N	1,46	4,03
248-02-2	s1c2ccccc2n3nnnc13	InChI=1S/C7H4N4S/c1-2-4-6-5(3-1)11-7(12-6)8-9-10-11/h1-4H	IUMRBKDMFRMZFM-UHFFFAOYSA-N	0,25	5,33
5334-23-6	C1=NNC2=C1C(=S)N=CN2	InChI=1S/C5H4N4S/c10-5-3-1-8-9-4(3)6-2-7-5/h1-2H,(H2,6,7,8,9,10)	PYAOPMWCFSVFOT-UHFFFAOYSA-N	0,52	3,52
81-08-3	O=C1O[S](=O)(=O)c2ccccc12	InChI=1S/C7H4O4S/c8-7-5-3-1-2-4-6(5)12(9,10)11-7/h1-4H	NCYNKWQXFADUOZ-UHFFFAOYSA-N	1,36	5,66
940-76-1	Fc1ccc(SC(F)(F)F)cc1	InChI=1S/C7H4F4S/c8-5-1-3-6(4-2-5)12-7(9,10)11/h1-4H	BTKQCAUEXFTVNT-UHFFFAOYSA-N	0,29	6,12
211-16-5	C1=CC2=NSN=C2C3=NSN=C31	InChI=1S/C6H2N4S2/c1-2-4-6(10-12-8-4)5-3(1)7-11-9-5/h1-2H	MZIWFHXCHAYULH-UHFFFAOYSA-N	1,17	4,55
6293-09-0	O=C1N=NC(=O)C2N=CNC12	InChI=1S/C5H4N4O2/c10-4-2-3(7-1-6-2)5(11)9-8-4/h1-3H,(H,6,7)	CGJGSVVFZOZGDO-UHFFFAOYSA-N	0,43	4,97
2067-84-7	O=C1Nc2cccnc2NC1=O	InChI=1S/C7H5N3O2/c11-6-7(12)10-5-4(9-6)2-1-3-8-5/h1-3H,(H,9,11)(H,8,10,12)	ZTCJWOFMAWQWRD-UHFFFAOYSA-N	0,70	4,66
461-89-2	O=C1NN=CC(=O)N1	InChI=1S/C3H3N3O2/c7-2-1-4-6-3(8)5-2/h1H,(H2,5,6,7,8)	SSPYSWLZOPCOLO-UHFFFAOYSA-N	0,78	5,46
25939-87-1	C1=CN2C(=C(C=N2)C#N)N=C1	InChI=1S/C7H4N4/c8-4-6-5-10-11-3-1-2-9-7(6)11/h1-3,5H	RRHORVAOECWFPT-UHFFFAOYSA-N	0,89	4,47
108-31-6	O=C1OC(=O)C=C1	InChI=1S/C4H2O3/c5-3-1-2-4(6)7-3/h1-2H	FPYJFEHAWHCUMM-UHFFFAOYSA-N	1,63	5,04
75-09-2	ClCCl	InChI=1S/CH2Cl2/c2-1-3/h1H2	YMWUJEATGCHHMB-UHFFFAOYSA-N	0,20	7,73
327-54-8	C1=C(C(=CC(=C1F)F)F)F	InChI=1S/C6H2F4/c7-3-1-4(8)6(10)2-5(3)9/h1-2H	SDXUIOOHCIQXRP-UHFFFAOYSA-N	-0,35	5,87
119-61-9	C1=CC=C(C=C1)C(=O)C2=CC=CC=C2	InChI=1S/C13H10O/c14-13(11-7-3-1-4-8-11)12-9-5-2-6-10-12/h1-10H	RWCCWEUUXYIKHB-UHFFFAOYSA-N	0,86	4,90
17698-86-1	C1=CC=C2C(=C1)C3=C(C2=O)C(=C(C(=C3F)F)F)F	InChI=1S/C13H4F4O/c14-9-7-5-3-1-2-4-6(5)13(18)8(7)10(15)12(17)11(9)16/h1-4H	QBZOIEIJWHHELD-UHFFFAOYSA-N	1,67	3,94
91-20-3	C1=CC=C2C=CC=CC2=C1	InChI=1S/C10H8/c1-2-6-10-8-4-3-7-9(10)5-1/h1-8H	UFWIBTONFRDIAS-UHFFFAOYSA-N	-0,25	4,78
120-12-7	C1=CC=C2C=C3C=CC=CC3=CC2=C1	InChI=1S/C14H10/c1-2-6-12-10-14-8-4-3-7-13(14)9-11(12)5-1/h1-10H	MWPLVEDNUUSJAV-UHFFFAOYSA-N	0,56	3,57
3096-52-4	C1=CC=C2C(=C1)C3=C(C2=O)C=C(C=C3)[N+](=O)[O-]	InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H	UHOVQNZJYSORNB-UHFFFAOYSA-N	1,94	3,91
4269-20-9	C1=CC=C2C(=C1)C3=C(C=CC=C3C2=O)C#N	InChI=1S/C4H4O/c1-2-4-5-3-1/h1-4H	YLQBMQCUIZJEEH-UHFFFAOYSA-N	1,61	3,99
83-32-9	C1CC2=CC=CC3=C2C1=CC=C3	InChI=1S/C6H5NO3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H/p-1	BTJIUGUIPKRLHP-UHFFFAOYSA-M	-0,38	4,64
602-87-9	C1CC2=CC=C(C3=CC=CC1=C23)[N+](=O)[O-]	InChi=1S/C10H4N4O6/c15-7-3(9(17)18)1-11-13(5)8(16)6-4(10(19)20)2-12-14(6)7/h1-2H,(H,17,18)(H,19,20)/p-2	VLSDXMORBHKJST-UHFFFAOYSA-L	1,24	3,77
553-97-9	CC1=CC(=O)C=CC1=O	InChI=1S/C7H6O2/c1-5-4-6(8)2-3-7(5)9/h2-4H,1H3	VTWDKFNVVLAELH-UHFFFAOYSA-N	2,01	3,88
19832-87-2	CC1=CC(=O)C(=CC1=O)Cl	InChI=1S/C7H5ClO2/c1-4-2-7(10)5(8)3-6(4)9/h2-3H,1H3	BIUBEGIHROOPTQ-UHFFFAOYSA-N	2,28	3,97
4592-97-6	CC1=C(Cl)C(=O)C(=C(Cl)C1=O)Cl	InChI=1S/C7H3Cl3O2/c1-2-3(8)7(12)5(10)4(9)6(2)11/h1H3	ZBWPOKNIKGLQBA-UHFFFAOYSA-N	2,67	3,56
46010-98-4	CC1=C(Cl)C(=O)C(=C(Cl)C1=O)C	InChI=1S/C8H6Cl2O2/c1-3-5(9)8(12)4(2)6(10)7(3)11/h1-2H3	VCJSHLWROQUHPY-UHFFFAOYSA-N	2,41	3,70
84-58-2	ClC1=C(Cl)C(=O)C(=C(C#N)C1=O)C#N	InChI=1S/C8Cl2N2O2/c9-5-6(10)8(14)4(2-12)3(1-11)7(5)13	HZNVUJQVZSTENZ-UHFFFAOYSA-N	3,80	3,29
6317-27-7	C[S](=O)(=O)Oc1ccc(Cl)cc1	InChI=1S/C7H7ClO3S/c1-12(9,10)11-7-4-2-6(8)3-5-7/h2-5H,1H3	LSGFXGPDQYGPDG-UHFFFAOYSA-N	1,21	6,01
28804-47-9	CO[S](=O)(=O)Cc1ccccc1	InChI=1S/C8H10O3S/c1-11-12(9,10)7-8-5-3-2-4-6-8/h2-6H,7H2,1H3	MNRGFUBMMILKAL-UHFFFAOYSA-N	0,99	6,24
86358-28-3	O=C(C(=O)c1ccccc1)c2occc2	InChI=1S/C12H8O3/c13-11(9-5-2-1-3-6-9)12(14)10-7-4-8-15-10/h1-8H	RRHBYDSLXIHTGW-UHFFFAOYSA-N	1,59	3,88
31375-00-5	O[S](=O)(=O)c1ccccc1[S](O)(=O)=O	InChI=1S/C6H6O6S2/c7-13(8,9)5-3-1-2-4-6(5)14(10,11)12/h1-4H,(H,7,8,9)(H,10,11,12)	MIAUJDCQDVWHEV-UHFFFAOYSA-N	1,37	5,94
13362-78-2	c1cc(ccn1)\C=C\c2ccncc2	InChI=1S/C12H10N2/c1(11-3-7-13-8-4-11)2-12-5-9-14-10-6-12/h1-10H/b2-1+	MGFJDEHFNMWYBD-OWOJBTEDSA-N	1,21	4,25
273-13-2	s1nc2ccccc2n1	InChI=1S/C6H4N2S/c1-2-4-6-5(3-1)7-9-8-6/h1-4H	PDQRQJVPEFGVRK-UHFFFAOYSA-N	0,88	4,33
19155-86-3	C1=CC2=NON=C2C=C1Cl	InChI=1S/C6H3ClN2O/c7-4-1-2-5-6(3-4)9-10-8-5/h1-3H	DGGUUSPCQWWLRM-UHFFFAOYSA-N	1,30	4,32
15804-19-0	O=C1Nc2ccccc2NC1=O	InChI=1S/C8H6N2O2/c11-7-8(12)10-6-4-2-1-3-5(6)9-7/h1-4H,(H,9,11)(H,10,12)	ABJFBJGGLJVMAQ-UHFFFAOYSA-N	0,47	4,70
2213-63-0	Clc1nc2ccccc2nc1Cl	InChI=1S/C8H4Cl2N2/c9-7-8(10)12-6-4-2-1-3-5(6)11-7/h1-4H	SPSSDDOTEZKOOV-UHFFFAOYSA-N	1,19	4,66
2592-95-2	N.On1nnc2ccccc12	InChI=1S/C6H5N3O.H3N/c10-9-6-4-2-1-3-5(6)7-8-9;/h1-4,10H;1H3	URQAMACHHWVNRD-UHFFFAOYSA-N	0,47	4,75
6146-52-7	[O-][N+](=O)c1ccc2[nH]ccc2c1	InChI=1S/C8H6N2O2/c11-10(12)7-1-2-8-6(5-7)3-4-9-8/h1-5,9H	OZFPSOBLQZPIAV-UHFFFAOYSA-N	0,80	4,15
3244-54-0	[O-][N+](=O)c1ccc2[nH]c3ccc(cc3c2c1)[N+]([O-])=O	InChI=1S/C12H7N3O4/c16-14(17)7-1-3-11-9(5-7)10-6-8(15(18)19)2-4-12(10)13-11/h1-6,13H	IARXLBTXILYASE-UHFFFAOYSA-N	1,64	4,17
4543-33-3	[O-][N+](=O)c1cc2c([nH]c3c2cc(cc3[N+]([O-])=O)[N+]([O-])=O)c(c1)[N+]([O-])=O	InChI=1S/C12H5N5O8/c18-14(19)5-1-7-8-2-6(15(20)21)4-10(17(24)25)12(8)13-11(7)9(3-5)16(22)23/h1-4,13H	JUSWGNJYSBSOFM-UHFFFAOYSA-N	2,69	4,18
28453-24-9	[O-][N+](=O)c1cc2[nH]c3cc(cc(c3c2c(c1)[N+]([O-])=O)[N+]([O-])=O)[N+]([O-])=O	InChI=1S/C12H5N5O8/c18-14(19)5-1-7-11(9(3-5)16(22)23)12-8(13-7)2-6(15(20)21)4-10(12)17(24)25/h1-4,13H	VSMSIASZXNTHEN-UHFFFAOYSA-N	3,02	3,55
69-93-2	O=C1NC(=O)C2=C(N1)NC(=O)N2	InChI=1S/C5H4N4O3/c10-3-1-2(7-4(11)6-1)8-5(12)9-3/h(H4,6,7,8,9,10,11,12)	LEHOTFFKMJEONL-UHFFFAOYSA-N	-0,29	4,98
948-60-7	NC1=NC(=O)c2nc(cnc2N1)C(O)=O	InChI=1S/C7H5N5O3/c8-7-11-4-3(5(13)12-7)10-2(1-9-4)6(14)15/h1H,(H,14,15)(H3,8,9,11,12,13)	QABAUCFGPWONOG-UHFFFAOYSA-N	1,29	4,31
6921-26-2	[O-][N+](=O)c1ccc(c2ccccc12)[N+]([O-])=O	InChI=1S/C10H6N2O4/c13-11(14)9-5-6-10(12(15)16)8-4-2-1-3-7(8)9/h1-6H	GQBQDMFMXMUHAA-UHFFFAOYSA-N	2,43	3,77
605-71-0	[O-][N+](=O)c1cccc2c1cccc2[N+]([O-])=O	InChI=1S/C10H6N2O4/c13-11(14)9-5-1-3-7-8(9)4-2-6-10(7)12(15)16/h1-6H	ZUTCJXFCHHDFJS-UHFFFAOYSA-N	2,15	4,05
58-27-5	CC1=CC(=O)c2ccccc2C1=O	InChI=1S/C11H8O2/c1-7-6-10(12)8-4-2-3-5-9(8)11(7)13/h2-6H,1H3	MJVAVZPDRWSRRC-UHFFFAOYSA-N	1,85	4,04
490-91-5	CC(C)C1=CC(=O)C(=CC1=O)C	InChI=1S/C10H12O2/c1-6(2)8-5-9(11)7(3)4-10(8)12/h4-6H,1-3H3	KEQHJBNSCLWCAE-UHFFFAOYSA-N	1,93	3,88
555-16-8	[O-][N+](=O)c1ccc(C=O)cc1	InChI=1S/C7H5NO3/c9-5-6-1-3-7(4-2-6)8(10)11/h1-5H	BXRFQSNOROATLV-UHFFFAOYSA-N	1,97	4,42
528-75-6	[O-][N+](=O)c1ccc(C=O)c(c1)[N+]([O-])=O	InChI=1S/C7H4N2O5/c10-4-5-1-2-6(8(11)12)3-7(5)9(13)14/h1-4H	ZILXIZUBLXVYPI-UHFFFAOYSA-N	2,53	4,38
84-65-1	O=C1c2ccccc2C(=O)c3ccccc13	InChI=1S/C14H8O2/c15-13-9-5-1-2-6-10(9)14(16)12-8-4-3-7-11(12)13/h1-8H	RZVHIXYEVGDQDX-UHFFFAOYSA-N	1,72	4,21
552-89-6	[O-][N+](=O)c1ccccc1C=O	InChI=1S/C7H5NO3/c9-5-6-3-1-2-4-7(6)8(10)11/h1-5H	CMWKITSNTDAEDT-UHFFFAOYSA-N	1,79	4,50
121-90-4	[O-][N+](=O)c1cccc(c1)C(Cl)=O	InChI=1S/C7H4ClNO3/c8-7(10)5-2-1-3-6(4-5)9(11)12/h1-4H	NXTNASSYJUXJDV-UHFFFAOYSA-N	1,78	5,25
99-61-6	[O-][N+](=O)c1cccc(C=O)c1	InChI=1S/C7H5NO3/c9-5-6-2-1-3-7(4-6)8(10)11/h1-5H	ZETIVVHRRQLWFW-UHFFFAOYSA-N	1,65	4,62
492-94-4	O=C(C(=O)c1occc1)c2occc2	InChI=1S/C10H6O4/c11-9(7-3-1-5-13-7)10(12)8-4-2-6-14-8/h1-6H	SXPUVBFQXJHYNS-UHFFFAOYSA-N	1,50	3,94
92-82-0	c1ccc2nc3ccccc3nc2c1	InChI=1S/C12H8N2/c1-2-6-10-9(5-1)13-11-7-3-4-8-12(11)14-10/h1-8H	PCNDJXKNXGMECE-UHFFFAOYSA-N	1,30	3,64
86-57-7	[O-][N+](=O)c1cccc2ccccc12	InChI=1S/C10H7NO2/c12-11(13)10-7-3-5-8-4-1-2-6-9(8)10/h1-7H	RJKGJBPXVHTNJL-UHFFFAOYSA-N	1,39	4,01
1528-74-1	[O-][N+](=O)c1ccc(cc1)c2ccc(cc2)[N+]([O-])=O	InChI=1S/C12H8N2O4/c15-13(16)11-5-1-9(2-6-11)10-3-7-12(8-4-10)14(17)18/h1-8H	BDLNCFCZHNKBGI-UHFFFAOYSA-N	2,22	4,30
92-93-3	C1=CC=C(C=C1)C2=CC=C(C=C2)[N+](=O)[O-]	InChI=1S/C12H9NO2/c14-13(15)12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-9H	BAJQRLZAPXASRD-UHFFFAOYSA-N	1,39	4,21
520-03-6	O=C1N(c2ccccc2)C(=O)c3ccccc13	InChI=1S/C14H9NO2/c16-13-11-8-4-5-9-12(11)14(17)15(13)10-6-2-1-3-7-10/h1-9H	MFUPLJQNEXUUDW-UHFFFAOYSA-N	1,26	3,93
541-59-3	C1=CC(=O)NC1=O	InChI=1S/C4H3NO2/c6-3-1-2-4(7)5-3/h1-2H,(H,5,6,7)	PEEHTFAAVSWFBL-UHFFFAOYSA-N	1,28	4,80
613-90-1	O=C(C#N)c1ccccc1	InChI=1S/C8H5NO/c9-6-8(10)7-4-2-1-3-5-7/h1-5H	GJQBHOAJJGIPRH-UHFFFAOYSA-N	1,46	4,82
2113-58-8	[O-][N+](=O)c1cccc(c1)c2ccccc2	InChI=1S/C12H9NO2/c14-13(15)12-8-4-7-11(9-12)10-5-2-1-3-6-10/h1-9H	FYRPEHRWMVMHQM-UHFFFAOYSA-N	1,25	4,16
930-88-1	CN1C(=O)C=CC1=O	InChI=1S/C5H5NO2/c1-6-4(7)2-3-5(6)8/h2-3H,1H3	SEEYREPSKCQBBF-UHFFFAOYSA-N	1,21	4,84
119-26-6	NNc1ccc([N+](=O)[O-])cc1[N+](=O)[O-]	InChI=1S/C6H6N4O4/c7-8-5-2-1-4(9(11)12)3-6(5)10(13)14/h1-3,8H,7H2	HORQAOAYAYGIBM-UHFFFAOYSA-N	1,62	3,91
329-71-5	O=[N+]([O-])c1ccc([N+](=O)[O-])c(O)c1	InChI=1S/C6H4N2O5/c9-6-3-4(7(10)11)1-2-5(6)8(12)13/h1-3,9H	UWEZBKLLMKVIPI-UHFFFAOYSA-N	2,51	3,85
485-47-2	O=C1c2ccccc2C(=O)C1(O)O	InChI=1S/C9H6O4/c10-7-5-3-1-2-4-6(5)8(11)9(7,12)13/h1-4,12-13H	FEMOMIGRRWSMCU-UHFFFAOYSA-N	1,33	4,44
70-34-8	O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1	InChI=1S/C6H3FN2O4/c7-5-2-1-4(8(10)11)3-6(5)9(12)13/h1-3H	LOTKRQAVGJMPNV-UHFFFAOYSA-N	1,97	5,15
603-10-1	O=[N+]([O-])c1ccc([N+](=O)[O-])c([N+](=O)[O-])c1O	InChI=1S/C6H3N3O7/c10-6-4(8(13)14)2-1-3(7(11)12)5(6)9(15)16/h1-2,10H	UPOHJPYGIYINKG-UHFFFAOYSA-N	2,99	3,85
97-00-7	O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1	InChI=1S/C6H3ClN2O4/c7-5-2-1-4(8(10)11)3-6(5)9(12)13/h1-3H	VYZAHLCBVHPDDF-UHFFFAOYSA-N	2,05	4,83
100-25-4	O=[N+]([O-])c1ccc([N+](=O)[O-])cc1	InChI=1S/C6H4N2O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H	FYFDQJRXFWGIBS-UHFFFAOYSA-N	2,36	4,82
130-15-4	O=C1C=CC(=O)c2ccccc21	InChI=1S/C10H6O2/c11-9-5-6-10(12)8-4-2-1-3-7(8)9/h1-6H	FRASJONUBLZVQX-UHFFFAOYSA-N	1,95	4,03
619-80-7	NC(=O)c1ccc([N+](=O)[O-])cc1	InChI=1S/C7H6N2O3/c8-7(10)5-1-3-6(4-2-5)9(11)12/h1-4H,(H2,8,10)	ZESWUEBPRPGMTP-UHFFFAOYSA-N	1,67	4,58
122-04-3	O=C(Cl)c1ccc([N+](=O)[O-])cc1	InChI=1S/C7H4ClNO3/c8-7(10)5-1-3-6(4-2-5)9(11)12/h1-4H	SKDHHIUENRGTHK-UHFFFAOYSA-N	2,25	4,82
72-48-0	O=C1c2ccccc2C(=O)c2c1ccc(O)c2O	InChI=1S/C14H8O4/c15-10-6-5-9-11(14(10)18)13(17)8-4-2-1-3-7(8)12(9)16/h1-6,15,18H	RGCKGOZRHPZPFP-UHFFFAOYSA-N	1,84	3,31
111-46-6	C(COCCO)O	InChi=1S/C4H10O3/c5-1-3-7-4-2-6/h5-6H,1-4H2	MTHSVFCYNBDYFN-UHFFFAOYSA-N	-0,97	7,11
602-60-8	O=[N+]([O-])c1c2ccccc2cc2ccccc12	InChI=1S/C14H9NO2/c16-15(17)14-12-7-3-1-5-10(12)9-11-6-2-4-8-13(11)14/h1-9H	LSIKFJXEYJIZNB-UHFFFAOYSA-N	1,54	3,38
129-00-0	c1cc2ccc3cccc4ccc(c1)c2c34	InChI=1S/C16H10/c1-3-11-7-9-13-5-2-6-14-10-8-12(4-1)15(11)16(13)14/h1-10H	BBEAQIROQSPTKN-UHFFFAOYSA-N	0,42	3,84
57835-92-4	O=[N+]([O-])c1cc2cccc3ccc4cccc1c4c32	InChI=1S/C16H9NO2/c18-17(19)14-9-12-5-1-3-10-7-8-11-4-2-6-13(14)16(11)15(10)12/h1-9H	UISKIUIWPSPSAV-UHFFFAOYSA-N	1,61	3,23
5522-43-0	O=[N+]([O-])c1ccc2ccc3cccc4ccc1c2c34	InChI=1S/C16H9NO2/c18-17(19)14-9-7-12-5-4-10-2-1-3-11-6-8-13(14)16(12)15(10)11/h1-9H	ALRLPDGCPYIVHP-UHFFFAOYSA-N	1,69	3,26
75321-20-9	O=[N+]([O-])c1cc([N+](=O)[O-])c2ccc3cccc4ccc1c2c43	InChI=1S/C16H8N2O4/c19-17(20)13-8-14(18(21)22)12-7-5-10-3-1-2-9-4-6-11(13)16(12)15(9)10/h1-8H	KTNUVDBUEAQUON-UHFFFAOYSA-N	2,22	3,19
75321-19-6	O=[N+]([O-])c1ccc2ccc3c([N+](=O)[O-])cc([N+](=O)[O-])c4ccc1c2c34	InChI=1S/C16H7N3O6/c20-17(21)12-6-2-8-1-3-10-13(18(22)23)7-14(19(24)25)11-5-4-9(12)15(8)16(10)11/h1-7H	BXOXVTWMJCUYLW-UHFFFAOYSA-N	3,03	3,08
28767-61-5	O=[N+]([O-])c1cc([N+](=O)[O-])c2ccc3c([N+](=O)[O-])cc([N+](=O)[O-])c4ccc1c2c43	InChI=1S/C16H6N4O8/c21-17(22)11-5-13(19(25)26)9-3-4-10-14(20(27)28)6-12(18(23)24)8-2-1-7(11)15(9)16(8)10/h1-6H	KSYXGBHNJOKVIK-UHFFFAOYSA-N	3,55	3,06
198-55-0	c1cc2cccc3c4cccc5cccc(c(c1)c23)c54	InChI=1S/C20H12/c1-5-13-6-2-11-17-18-12-4-8-14-7-3-10-16(20(14)18)15(9-1)19(13)17/h1-12H	CSHWQDPOILHKBI-UHFFFAOYSA-N	0,97	3,00
N/A	O=[N+]([O-])c1cc2c3c(cccc3c1[N+](=O)[O-])CC2	InChI=1S/C12H8N2O4/c15-13(16)10-6-8-5-4-7-2-1-3-9(11(7)8)12(10)14(17)18/h1-3,6H,4-5H2	QTNQINHUVYVEBP-UHFFFAOYSA-N	1,94	3,72
2066-93-5	C1=CC=C2C(=C1)C(=CC(=O)C2=O)S(=O)(=O)O	InChI=1S/C10H6O5S/c11-8-5-9(16(13,14)15)6-3-1-2-4-7(6)10(8)12/h1-5H,(H,13,14,15)	PZTGRDMCBZUJDL-UHFFFAOYSA-N	2,70	3,32
4622-04-2	C1=CC(=O)C(=C(C1=O)C#N)C#N	InChI=1S/C8H2N2O2/c9-3-5-6(4-10)8(12)2-1-7(5)11/h1-2H	DNXUGBMARDFRGG-UHFFFAOYSA-N	3,47	3,75
