,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170
C2r C3r C3r C2r,73,51,21,27,51,61,29,49,45,9,3,0,3,5,7,37,75,53
C3r C3r C2r Cs2,9,7,0,0,0,0,1,0,1,0,8,22,26,15,14,33,28,21
O_d Car Car Cs2,253,93,39,21,15,6,3,0,0,0,0,0,0,0,0,0,0,0
Car O_a Cs3 Cs3,4,2,4,12,18,16,24,62,48,52,44,34,57,80,124,193,378,572
O_a Car Car Nd0,492,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,55
O_a Cs3 Cs3 Cs3,16,21,25,33,89,189,246,100,55,38,31,33,28,45,48,59,85,145
Hal Car Nac Car,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285
Hal Car Car Cs3,303,76,40,24,15,5,6,2,0,2,0,1,0,0,0,0,0,0
Car Car Cs3 Car,97,58,53,98,96,121,172,227,230,235,212,180,113,93,94,57,55,93
Nac Car Car Csp,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,515
Car Nac Car O_d,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,107
Car Car Csp Nac,269,126,88,50,55,43,62,54,54,48,51,64,50,56,50,87,129,259
O_d Car Car Cs3,146,50,22,17,11,7,5,3,0,2,0,0,1,0,0,0,0,1
O_d Car Nac Nac,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38
Car Car Nac Cs2,118,24,18,22,42,24,40,40,54,51,35,33,28,45,24,21,33,204
Car Nac Cs2 .=O,153,28,8,7,11,4,1,0,2,1,2,6,5,9,8,20,25,206
Car Nac Cs2 Car,48,21,10,3,9,4,0,0,0,0,0,0,0,4,6,7,13,75
Car Nac Nac Cs2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48
Cs2 Car Car Hal,89,46,30,26,24,16,13,10,5,2,1,1,7,2,0,0,0,0
Nac Nac Cs2 .=O,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,63
Nac Nac Cs2 Car,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11
Car Cs3 O_a Car,2,0,2,6,10,25,39,32,29,19,9,2,13,9,20,45,82,129
O_a Cs3 Cs3 Nd0,3,2,4,10,17,43,25,14,5,4,1,3,4,4,2,3,7,4
.=O Car Nac Nac,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,138
Car Nac Cs3 Cs2,5,5,0,4,14,29,44,51,69,86,73,49,38,26,15,5,2,3
Nac Cs3 Cs2 Cs2,2,0,0,0,3,1,1,1,0,2,3,7,6,3,2,1,0,2
Cs2 Cs3 Nac Nac,0,1,0,0,2,1,0,3,11,18,12,6,5,5,3,1,0,0
Nac Car Cs3 O_d,9,10,6,2,4,15,12,5,7,5,2,10,3,5,4,7,15,14
Nac C3r C3r O_a,71,63,89,118,191,475,101,40,33,12,13,14,8,3,9,9,12,17
Nd0 Car Nac Nd0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,168
Nd0 Car C3r C3r,5,5,5,23,13,19,12,5,7,5,6,7,9,7,18,36,30,44
Nac Nd0 Car C3r,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,9,16,30
Car Car C3r Cs3,19,18,30,63,131,117,152,172,77,77,114,152,131,97,53,24,26,19
Car C3r C2r Car,57,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Car C3r C2r .=O,9,3,5,7,5,22,39,6,3,5,6,1,0,0,5,2,6,132
Car C3r Cs2 .=O,3,3,0,0,2,0,1,9,11,11,6,8,9,30,17,4,0,4
Car C3r Cs2 O_a,4,24,18,3,0,0,1,0,2,0,4,0,0,0,0,0,0,1
Car Car C2r Cs2,75,7,0,1,1,6,6,0,0,0,0,6,3,2,2,0,3,67
Nac Car Car C3r,397,9,2,0,0,0,0,0,0,0,0,0,0,0,1,1,17,994
Nac Car C3r C3r,117,144,78,50,53,66,56,55,46,44,53,60,43,40,73,112,136,140
Nac Car C3r Cs3,21,11,1,0,6,5,9,10,5,15,72,25,18,30,23,3,10,28
Car Car C3r Cs2,0,1,1,11,19,44,16,11,11,14,14,48,27,9,4,0,0,1
Car C3r C3r Car,89,97,89,25,49,53,45,51,35,1,9,5,5,1,9,7,43,27
Car C3r C3r Cs3,5,1,1,4,4,15,46,59,19,50,66,25,26,39,41,29,59,62
Car C3r Cs3 Cs3,4,2,3,0,45,36,25,25,10,1,0,8,5,4,4,13,25,57
Cs3 C3r C3r Cs3,11,9,21,17,33,65,73,29,33,33,21,17,5,23,81,23,7,11
Cs3 Cs3 Cs2 O_a,5,2,2,4,2,8,9,19,15,16,4,7,8,5,10,17,24,46
Cs3 Cs2 O_a Cs3,7,1,5,0,3,2,3,1,1,5,4,5,2,15,15,17,34,133
Cs2 O_a Cs3 Cs2,1,0,3,2,6,10,17,2,5,1,1,0,0,0,0,0,2,3
O_a Cs3 Cs2 Cs2,1,0,0,3,2,10,18,13,5,0,4,1,3,2,0,2,2,1
Nd0 Car Car Cs2,812,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,236
Car Car Cs2 Cs3,129,51,71,37,16,11,17,11,8,9,10,17,13,16,29,65,55,99
Nac Car C2r C3r,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3
Nac Car C2r Cs2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8
Car Nac Car C2r,58,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,145
Car C3r C2r Cs2,1,3,2,8,7,12,4,3,3,3,0,0,0,0,1,0,4,12
C3r C2r Cs2 Cs3,16,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3
Car C2r Cs2 Cs3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9
Cs3 C3r C2r Cs2,5,0,0,1,0,0,0,0,1,5,4,12,9,3,3,0,0,1
Nd0 Car Car C3r,297,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,341
Car C2r C3r Cs2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,17,19,5,1
Cs3 Car Car C2r,86,28,17,8,4,0,1,0,1,0,0,0,1,0,0,0,0,0
C2r C3r Cs2 .=O,0,3,5,1,3,0,2,5,1,8,26,13,5,0,1,0,0,1
C2r C3r Cs2 O_a,0,0,0,0,0,0,0,0,0,0,1,4,7,3,17,8,1,0
.=O C2r C3r Cs2,0,0,1,0,0,0,0,4,6,28,9,3,0,0,0,0,0,0
Cs3 Cs2 Cs2 Cs3,303,13,3,3,5,1,5,0,1,0,0,1,0,5,3,9,9,279
Cs2 Cs2 Cs3 Cs3,18,15,16,8,3,11,5,12,10,18,27,50,45,23,18,18,15,27
Cs3 Cs2 Cs3 Cs3,4,2,4,1,3,5,5,4,4,5,8,10,9,5,10,21,21,22
Cs3 Nd+ Cs3 C3r,2,1,1,2,6,10,7,11,10,6,16,11,10,11,15,18,26,29
Nd+ Cs3 C3r O_a,4,2,3,5,24,40,30,14,9,2,3,4,0,3,4,2,6,13
Cs3 Cs3 Nd0 SO2,2,2,0,2,4,4,3,10,12,12,13,12,21,23,41,32,31,23
Cs2 Nd0 Car Sul,216,69,31,10,4,3,3,3,4,0,1,0,3,3,1,5,2,12
Csp Car Car Car,147,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1905
Csp Car Car O_a,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C3r Nd+ C3r Cs3,0,0,0,1,15,24,22,26,21,21,30,30,19,11,23,36,48,139
Cs3 C3r Car Nd0,4,0,0,0,1,16,17,11,5,4,0,0,0,0,0,0,0,0
Car Cs3 C3r Car,0,0,0,1,9,2,0,0,0,0,0,0,0,0,0,2,0,1
Car Cs3 C3r Nd+,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,5,3,9
Car C3r C3r Nd+,7,6,16,35,72,57,9,19,14,32,11,16,9,16,19,33,42,35
Car Nd0 Car C3r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,186
Nd+ C3r Car Nd0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5
O_a Car Car Hal,429,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
C3r Cs3 Nd0 SO2,1,0,0,0,0,2,0,0,0,0,0,0,0,2,0,4,4,4
Cs3 Nd0 SO2 Nd0,0,1,1,2,1,7,1,1,1,0,0,0,0,0,2,1,0,2
Cs2 Nd0 SO2 Nd0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Car Cs2 Nd0 SO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,60
C3r C3r Cs3 Nd0,4,5,15,18,27,66,95,45,26,22,8,17,9,16,13,28,55,115
Nd0 Cs3 C3r O_a,2,1,3,0,5,7,9,6,3,2,0,0,0,0,2,0,5,7
Cs2 Car Car .=O,66,26,10,9,0,1,2,0,0,0,0,0,0,0,0,0,0,0
Cs3 Car Nac Nac,68,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,924
Hal Car Car SO2,65,12,14,24,7,0,2,3,1,0,0,0,0,1,0,0,0,0
SO2 Nd0 Cs3 Cs2,2,0,0,13,13,19,18,6,5,10,0,3,0,0,0,0,0,2
Nd0 Cs3 Cs2 Nac,2,0,0,0,0,0,1,2,1,3,3,12,27,31,49,27,19,20
Cs3 Cs2 Nac C3r,642,72,21,13,5,3,4,0,1,0,0,3,5,3,10,20,65,661
Cs2 Nac C3r Cs3,1,2,1,0,1,5,6,21,16,22,30,23,33,32,20,14,11,1
Cs3 Cs3 Cs2 Nac,0,0,1,0,3,3,10,37,54,82,74,87,37,24,15,26,37,53
Cs3 Nd0 Cs2 Nd+,15,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Nac C3r Cs3 Cs3,0,0,1,2,11,28,32,8,8,8,1,3,2,5,3,12,17,27
C3r Nac C3r Cs3,0,0,2,0,2,16,56,73,37,40,38,48,29,8,2,5,4,10
Cs3 Cs3 Cs2 Car,0,1,0,0,9,2,11,12,8,3,10,2,3,5,3,4,7,10
Cs3 Cs2 Car Sul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9
Cs3 Cs2 Car Nac,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,5,16
.=O Cs2 Car Nac,152,104,77,56,32,24,13,14,7,6,15,22,27,40,50,95,220,328
Cs2 Car Nac Car,42,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,952
C3r C3r O_a Cs3,1,0,5,8,11,28,51,58,55,96,82,85,88,84,94,80,104,157
Car Nd0 Car Nd+,118,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Nd0 Car Nd+ Car,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119
Car Nd+ Car Car,361,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
Car Car Car Nd+,170,7,2,1,0,0,1,0,0,0,0,2,0,0,1,0,9,362
Nd+ C3r Cs2 .=O,34,32,35,30,35,17,5,2,2,3,2,2,5,4,3,13,28,24
Cs2 C3r C3r Car,2,1,1,0,3,5,3,6,8,8,1,2,0,4,9,9,10,18
Cs3 Nd0 Car Car,395,168,90,59,45,26,31,23,28,30,27,32,25,47,62,91,223,500
Car Nac Cs3 C3r,1,1,0,2,2,25,49,31,37,41,29,37,23,6,0,1,2,4
O_a C3r Cs3 Nac,0,0,3,1,2,10,14,19,6,2,0,2,2,0,2,2,15,8
O_a C3r O_a C3r,31,28,30,32,30,163,292,137,100,62,105,148,138,114,21,31,31,206
O_a C3r C3r Nd+,50,26,21,36,87,413,235,65,48,26,24,26,15,17,17,9,35,88
Cs2 O_a Cs3 Car,0,0,0,0,3,1,9,13,18,13,8,8,5,6,10,6,19,19
O_d Cs3 Cs3 O_d,13,15,19,49,139,285,229,81,51,17,15,25,33,29,37,69,143,343
Nac Cs3 Cs3 O_d,6,2,8,19,27,50,73,33,18,9,6,2,2,9,2,21,230,87
Nac Car Cs2 Nd0,255,165,70,36,11,8,0,1,0,1,5,5,11,17,44,44,65,56
C3r O_a C3r Sul,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12,46
Sul C3r C3r O_d,2,6,24,34,6,1,0,2,0,0,0,0,0,0,2,0,0,8
Sul C3r C3r C3r,16,16,40,44,13,28,32,14,10,21,23,14,6,9,6,7,21,86
C3r C3r Nac Nac,7,16,14,39,42,52,61,43,36,24,29,75,48,19,30,20,18,19
C3r C3r Sul C3r,14,24,29,62,84,25,6,15,1,8,6,5,8,34,18,13,5,24
Nac Nac Nac C3r,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,110
Nac Nac Nac Car,1118,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,117
O_a C3r Sul C3r,0,0,2,9,2,2,0,0,0,0,0,0,0,2,6,1,2,3
Car Car Car Sul,2404,85,72,54,45,21,5,9,1,4,9,6,21,50,56,68,103,2424
Car C2r C2r Car,165,19,7,7,0,0,0,0,0,0,0,0,0,0,0,0,3,11
Car C2r C3r O_a,5,8,0,0,0,0,0,0,0,1,6,6,0,1,10,7,4,6
C2r C2r C3r O_a,11,16,19,27,8,9,8,8,10,6,8,10,14,22,23,20,8,5
C2r C3r O_a C3r,6,0,4,10,19,42,11,13,12,2,6,1,5,5,10,1,2,12
C2r C3r C3r SO2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3
C3r C3r SO2 Nac,14,7,6,1,6,3,1,3,1,0,0,0,0,2,5,4,0,7
C3r C3r SO2 .=O,8,9,42,44,53,78,72,59,49,26,12,10,7,14,34,56,61,86
C3r SO2 Nac Car,0,0,1,0,0,2,1,0,4,6,1,0,0,1,0,0,0,4
C3r SO2 Nac Cs3,0,0,0,1,0,0,3,0,3,0,1,0,0,1,0,0,1,3
C3r C3r C3r SO2,2,1,6,3,5,30,36,6,2,7,99,15,11,16,0,8,11,24
O_a C3r C3r SO2,0,1,0,0,0,0,0,2,3,4,0,0,0,0,0,0,0,1
SO2 Nac Car Car,23,4,12,16,19,12,20,25,59,58,28,19,12,13,20,13,8,52
SO2 Nac Cs3 Cs3,1,1,0,5,3,5,14,17,21,36,183,162,55,134,92,12,6,5
Car Nac SO2 .=O,8,28,56,29,38,38,27,11,8,12,5,13,11,14,25,52,49,56
Cs3 Nac SO2 .=O,81,83,150,250,151,132,191,53,22,18,17,25,41,63,94,276,217,322
Cs2 Cs3 Cs3 Cs2,1,1,3,7,13,33,29,15,9,15,9,9,9,15,27,35,89,167
Cs3 Cs3 Nac Cs3,12,17,19,25,50,64,86,228,175,161,265,90,24,31,17,10,20,21
Cs3 Nac SO2 Car,1,0,2,12,73,180,78,146,242,79,58,26,18,6,12,1,4,3
Nac SO2 Car Car,24,30,24,15,8,38,65,160,545,459,142,66,29,11,20,23,23,17
Cs2 Nd0 Cs2 Nd0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
Cs2 Nd0 Cs2 .=O,57,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Cs2 Nd0 Cs2 Car,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,27
Car Car Cs3 Cs2,45,23,18,33,71,100,161,230,187,211,203,163,104,74,30,23,22,37
Car Cs3 Cs2 .=O,73,59,81,60,54,59,87,120,111,100,77,59,28,31,44,40,37,32
Cs2 Nac Car Cs3,13,2,1,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Cs2 Cs3 Cs3 O_d,2,0,2,3,14,34,41,25,12,1,3,1,0,2,17,13,42,36
O_d Cs3 Cs2 .=O,21,22,15,20,16,15,4,5,3,6,3,2,3,7,5,17,22,39
O_d Cs3 Cs2 Nd0,33,17,14,1,3,0,0,2,1,0,4,4,13,5,6,2,1,4
Cs2 Nd0 Cs3 C3r,0,0,0,6,5,6,23,27,46,30,22,9,15,5,6,6,14,10
C3r Nac Car Hal,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cs3 C3r C3r Nac,1,0,0,2,5,21,41,61,47,37,35,48,33,31,37,45,69,125
Cs3 C3r C3r C2r,0,1,3,6,11,51,89,46,21,15,16,15,6,11,14,44,62,103
C3r C3r Nac C2r,243,197,118,85,48,38,69,49,29,35,62,113,96,67,70,64,81,88
C3r C3r C2r Nac,188,142,98,86,19,16,22,32,40,33,33,66,51,28,14,18,48,17
Cs3 Nac C2r C3r,37,0,0,0,1,0,0,0,0,0,1,1,0,4,8,20,41,395
Cs3 Cs3 Nac C3r,2,5,10,31,16,26,27,45,44,28,20,19,14,9,8,5,2,4
Cs3 Cs3 Nac C2r,1,4,4,5,12,26,27,29,34,45,69,41,39,31,18,4,10,4
C3r Nac C2r .=O,308,44,20,11,9,2,0,0,0,0,2,0,0,2,23,57,110,842
C3r Nac C2r C3r,462,70,16,5,3,0,0,0,1,0,0,3,0,10,5,6,24,193
Nac Cs3 Cs3 O_a,4,3,0,4,16,20,34,22,11,10,3,5,2,0,1,5,9,16
Hal Car Car Nac,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,559
C3r C3r Cs2 Car,0,0,0,1,0,0,5,3,1,3,0,0,0,3,2,3,4,6
C2r O_a C3r C3r,81,48,36,42,44,35,12,21,28,21,20,25,24,24,16,32,28,17
C2r Nd+ C3r C3r,54,20,44,34,20,8,0,0,0,2,2,6,5,21,21,7,5,7
C2r Nd+ C3r Car,3,0,0,0,0,0,0,0,0,6,22,26,12,46,37,6,5,8
Car Car Cs2 C3r,9,2,1,0,0,0,0,1,0,0,2,0,0,0,0,1,3,7
C3r Nd+ C2r O_a,3,8,3,3,4,1,7,0,1,1,0,0,0,1,1,0,0,0
C3r Nd+ C2r Nd0,30,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,18,180
C3r O_a C2r Nd0,10,6,1,0,0,0,0,0,0,0,0,0,0,0,0,3,8,54
C3r O_a C2r Nd+,43,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Nac Car Car O_d,86,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,150
Car Nac Cs2 Nd0,22,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,29
Car Car Nd0 C2r,233,74,37,48,32,9,13,5,0,0,6,12,9,30,43,37,60,207
Nac Car Nac Cs2,13,3,1,0,0,0,1,0,0,0,0,0,0,0,2,2,2,37
Nac Cs2 Nd0 Cs3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,3,9,92
Car C2r Nd0 Car,23,3,0,3,0,0,0,0,0,0,0,0,0,0,0,5,1,4
Nd0 Cs3 Cs3 Nd+,1,1,1,8,12,22,22,23,23,7,9,5,9,11,14,16,26,37
Cs3 Nd+ C3r Cs3,3,0,2,7,11,27,26,23,11,5,2,6,8,5,8,2,0,3
Nd+ C3r Cs3 Nd+,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,1,0
.=O C2r Nd0 Car,33,3,5,0,0,0,0,0,0,0,0,0,0,1,2,6,21,288
Nd0 Cs2 O_a C3r,0,0,0,0,0,0,0,0,1,2,2,0,0,1,13,24,147,117
Cs2 O_a C3r C3r,1,0,3,5,8,21,32,63,45,120,108,72,72,136,107,37,50,32
.=O Cs2 O_a C3r,196,180,31,19,7,7,1,5,5,4,2,1,0,0,1,0,1,2
O_a C3r C3r O_a,111,27,45,77,75,129,203,355,207,133,75,41,15,27,29,35,87,195
C3r O_a Cs2 Cs3,1,0,0,0,0,0,0,0,1,2,1,1,2,3,6,9,9,45
O_a Cs2 Cs3 Car,1,0,3,2,4,2,3,5,4,2,0,0,1,0,0,0,0,1
O_d Cs3 Cs3 Car,1,1,0,0,14,22,32,11,5,4,2,4,0,1,2,7,8,38
C3r Car Nac C3r,97,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Car C3r C3r Nd0,7,5,8,23,32,17,11,9,17,10,3,5,3,13,24,17,11,21
Cs2 Car Car Cs2,67,29,19,13,11,13,7,3,9,3,5,5,1,0,0,1,1,3
Cs2 Car Nac Nac,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231
Cs2 Car Nac Cs3,104,45,22,15,8,5,0,2,0,0,0,0,0,0,0,0,0,0
C3r Nd0 Cs2 Car,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,50,334
Csp Car Car Nd0,202,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
Sul C3r C3r Nac,3,0,9,8,28,21,10,7,4,16,1,0,0,0,0,1,1,0
Cs3 C2r C3r C3r,1,0,0,5,7,7,18,16,7,6,0,0,3,3,2,12,14,20
Cs3 C2r C2r C3r,38,2,1,1,0,0,0,0,0,0,0,0,0,0,4,12,20,101
Cs3 C2r C2r Car,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47
C3r Nd+ Cs3 C2r,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,2,8
Cs2 Car Car O_a,398,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,92
Car Nd0 Cs3 C3r,0,0,1,1,4,8,21,7,10,8,3,7,9,9,10,8,12,13
Nd+ Cs3 C2r C3r,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Nd+ Cs3 C2r C2r,0,0,0,0,0,0,0,0,0,0,3,1,3,1,1,0,0,3
C3r Nac Car Nd0,59,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,122
C3r Nac Car .=O,186,37,7,8,4,3,1,0,0,0,0,0,0,0,0,0,0,0
Car Car C3r Car,103,35,41,55,54,93,93,48,60,60,59,98,105,53,60,45,44,101
Nac Car Sul Cs3,105,60,19,13,10,11,12,12,11,11,8,11,5,13,12,21,51,73
Csp Csp Car Car,125,67,52,34,29,43,25,33,35,37,28,22,40,32,40,42,68,127
Cs2 Cs3 Sul Car,3,5,10,10,16,20,23,15,10,1,3,0,3,1,0,0,4,8
Sul Car Nac C3r,41,13,3,2,1,4,2,2,2,0,0,0,2,0,5,7,10,22
C3r C3r Cs3 Nac,3,4,9,23,24,39,34,32,17,9,8,4,5,17,16,34,57,77
C3r Cs3 Nac Nac,2,1,0,0,0,1,6,7,1,5,7,4,4,1,0,1,0,1
Cs3 Nac Nac Nac,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,203
Cs3 Cs3 O_a Cs3,4,1,4,7,34,26,31,57,24,30,35,37,36,48,55,80,116,124
Cs3 O_a Cs3 Cs2,0,0,4,4,6,5,11,24,4,1,2,2,1,6,18,15,5,7
O_a Cs3 Cs3 Car,0,0,1,0,12,15,19,13,3,2,0,1,2,0,1,0,11,7
O_a Cs3 Cs2 .=O,43,79,72,52,23,44,27,13,11,12,12,11,23,17,46,82,89,70
Car Nac Car O_a,323,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,798
Car O_a Car Nac,423,51,21,9,4,8,2,0,1,2,3,0,2,1,4,11,20,115
Cs3 Car O_a Car,0,0,0,1,0,0,0,0,1,0,1,0,2,4,6,18,45,157
C3r Nd0 Car Car,220,94,52,30,18,9,14,6,8,6,7,13,16,20,29,52,128,215
C3r C3r Nd0 Car,22,21,65,68,48,32,66,114,121,80,38,37,44,50,88,137,103,92
Nd+ C3r C3r Nd0,10,3,1,5,10,42,22,10,13,5,10,9,12,9,5,4,12,48
.=O Car Car Hal,17,11,3,2,3,2,2,2,1,0,0,0,0,0,0,0,0,0
Nac C3r C3r Car,47,38,31,58,116,59,21,12,12,7,0,2,8,9,18,14,32,59
Car O_a C3r O_a,214,130,109,53,21,4,19,20,29,5,4,7,6,0,0,2,0,1
Car Cs2 Cs2 Csp,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,7,22
Car Car Cs2 Cs2,115,66,63,46,43,93,52,30,27,27,28,56,79,54,40,54,67,97
Cs2 Cs2 Csp Nac,5,4,2,2,7,2,6,3,5,4,6,5,2,2,7,2,3,12
Cs2 Cs2 C2r Sul,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cs2 C2r Nd0 C2r,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,90
Cs2 C2r Sul C2r,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,4,24
Csp Cs2 Cs2 .=O,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22
Csp Cs2 C2r Sul,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
C2r Cs2 Cs2 .=O,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
C2r Cs2 Csp Nac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
C2r Nd0 C2r C2r,266,22,5,5,1,6,2,0,0,1,0,0,2,0,0,0,0,5
C2r Nd0 C2r Car,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
C2r Sul C2r C2r,31,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C2r Sul C2r Nd0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
C2r Nd0 C2r Sul,16,5,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Nd0 C2r C2r Sul,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4
Car Car Nd+ Cs3,5,0,1,1,0,3,2,3,4,4,3,2,3,0,1,1,0,5
Car Nd+ Cs3 Cs3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3
Car Car Cs2 O_a,87,50,26,25,25,15,17,8,10,9,12,20,12,31,21,23,49,77
Car Cs2 O_a Cs3,1,0,0,0,2,1,0,1,4,0,6,8,4,7,9,23,28,121
Cs3 Car Car Nd+,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,64
Nd+ C3r C3r Nd+,23,23,27,41,163,743,139,21,25,7,7,3,9,13,27,13,9,13
Csp Car Car Cs3,145,15,9,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0
Csp Csp Car Nac,15,5,2,4,1,4,1,0,1,2,1,1,3,1,3,6,8,17
Car Csp Csp Car,41,25,21,19,5,13,11,11,5,5,7,3,1,1,1,15,5,5
Nac Nac Car Csp,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Car Nac Car Csp,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122
Car Nd0 Cs3 Car,1,0,3,0,7,56,62,133,96,67,39,8,14,5,16,16,16,29
Nd0 Cs2 Cs3 Car,7,3,5,8,6,8,12,26,41,61,72,38,48,19,23,26,17,22
C3r Cs2 Cs2 Cs3,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30
C3r C3r Cs2 Cs2,3,0,4,3,3,5,3,4,5,5,9,17,20,12,16,17,14,4
C3r O_a C3r Cs2,3,24,47,10,4,5,4,11,6,12,15,11,12,6,3,7,22,39
O_a C3r Cs2 Cs2,0,1,3,0,0,0,0,2,3,5,8,4,6,2,0,1,0,0
Cs2 Cs2 Cs3 Nd0,1,2,0,1,0,0,3,2,2,2,1,2,1,2,10,5,3,3
O_d Car Car O_d,253,85,49,25,7,17,9,7,5,5,0,0,1,0,0,0,0,1
Car Nd0 Car Cs2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,26,83,362
Nd0 Car Cs2 Nac,1,0,1,0,2,0,0,0,7,0,1,0,0,1,3,5,4,5
Nd0 Car Cs2 .=O,103,66,36,14,30,25,1,1,1,8,3,3,26,28,10,16,36,58
Hal Car Car Hal,599,25,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1
O_a Cs3 Cs3 O_d,6,4,5,6,20,24,26,12,15,12,8,3,0,4,10,12,13,35
O_a Cs3 Cs3 Cs2,1,0,1,1,13,14,5,7,0,0,5,1,0,0,3,3,3,9
