,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170
C3r O_a C3r C3r,1342,1425,1377,1372,940,1700,1834,258,135,111,123,121,129,123,128,178,157,256
C3r O_a C3r Nac,8,3,2,4,2,0,3,45,132,59,173,250,148,129,213,578,467,115
O_a C3r C3r O_d,4,3,4,23,82,390,475,159,345,407,318,563,379,238,414,944,620,992
O_a C3r Nac Car,157,248,154,170,120,203,414,509,327,376,523,351,190,111,179,162,246,147
O_d C3r C3r O_d,393,535,1297,1299,675,697,1157,179,43,27,13,13,11,9,5,5,9,15
O_d C3r C3r Nac,1,2,6,5,21,72,132,390,702,225,82,86,88,68,225,205,71,40
Nac Car Car Nd0,3311,56,5,2,1,0,0,0,0,0,0,0,0,1,5,1,19,1756
Nd0 Car Nac Car,2041,12,0,0,0,0,0,0,0,0,0,1,0,0,1,9,70,10624
Cs2 Nd0 C3r C3r,8,4,10,19,20,70,142,176,156,191,178,244,245,206,253,180,148,122
Nd+ Cs3 Cs2 Nd0,15,14,7,4,7,3,2,3,7,7,11,21,29,38,35,44,20,26
.=O Cs2 Nd0 C3r,1150,139,17,9,12,3,2,3,5,0,1,0,0,0,0,4,1,32
Nac C3r C3r Nd0,16,6,5,10,36,36,15,12,14,17,20,14,24,14,5,7,8,14
Cs3 Cs2 Nd0 C3r,15,0,0,0,0,0,0,0,0,4,2,0,1,5,2,9,50,561
Cs3 Cs3 Cs3 Cs3,55,71,91,195,335,925,1481,1319,631,583,495,491,577,649,855,1447,2417,4315
Nd0 C3r C3r O_a,6,7,3,6,18,42,73,22,10,6,12,17,7,16,17,46,72,228
Nd0 C3r C3r O_d,7,5,39,60,70,187,97,35,19,7,1,2,3,3,1,2,0,5
Nd0 C3r C3r C3r,15,25,25,28,78,138,174,106,95,89,359,178,90,95,124,224,323,1281
C3r C3r Cs3 O_d,10,16,24,42,169,396,269,120,52,18,31,17,23,26,43,52,136,369
O_a C3r Cs3 O_d,15,17,21,33,100,274,395,205,51,32,13,13,11,13,8,16,16,42
Cs3 Cs3 O_a Cs2,8,7,12,14,43,93,111,60,44,35,22,38,38,31,33,46,76,162
Cs3 O_a Cs2 Nd0,1,0,1,0,0,2,2,3,7,8,7,18,8,18,39,36,63,179
Cs3 O_a Cs2 .=O,571,186,109,87,49,27,41,27,19,22,8,13,5,4,2,10,0,16
Cs2 Nd0 Cs3 Cs3,12,14,28,21,69,159,191,221,372,432,650,699,683,430,283,266,246,398
Cs3 Nd0 Cs2 O_a,16,4,1,1,0,3,1,0,2,2,2,8,3,7,10,26,59,406
Cs3 Nd0 Cs2 .=O,4570,544,138,43,33,31,24,13,11,16,8,7,8,7,6,7,13,113
Cs3 Cs3 Cs3 Car,10,9,16,20,66,114,165,148,60,55,46,43,26,42,67,112,303,840
Cs3 Sul Cs3 Cs2,2,0,1,2,1,1,4,1,0,5,0,4,1,0,0,0,0,2
Cs3 Cs2 Nd0 Cs3,51,3,2,2,2,1,2,1,1,3,6,5,4,9,9,30,129,1646
Car Cs3 Cs3 Sul,1,0,0,0,1,4,1,4,3,1,2,1,2,1,2,5,3,6
Car Cs3 Cs3 Nd0,11,7,21,58,146,462,246,104,32,15,8,12,6,12,13,28,64,173
Nd0 Cs3 Cs3 Sul,3,0,4,8,15,28,26,17,9,5,3,1,1,1,6,2,8,14
Nd0 Cs2 Cs3 Sul,2,5,1,0,2,4,8,11,9,8,5,4,5,3,3,5,4,4
.=O Cs2 Cs3 Sul,31,24,10,14,9,9,7,7,13,16,12,14,8,7,1,0,9,10
Nac Nac Car Car,4978,74,52,89,143,116,78,59,54,59,60,77,109,150,88,54,62,1973
Car Nac Car Cs3,205,10,0,0,1,1,0,0,0,0,0,0,0,0,1,5,23,3767
Car Car Nac Cs3,1912,290,164,170,102,105,80,104,128,141,97,95,97,118,176,178,359,4919
Cs3 Nac Nac Car,16,2,0,1,0,1,0,0,0,0,0,1,1,0,0,0,16,1048
Nac Car Cs3 Nd+,8,2,10,10,10,8,15,14,29,21,8,8,9,12,6,3,2,2
Car Cs3 Nd+ Cs3,4,3,3,15,35,70,119,99,54,42,13,18,15,29,27,76,91,138
Car Car Cs3 Nd+,49,46,84,69,125,169,222,284,335,343,297,221,183,141,73,98,48,56
Car Nac Nac Car,5547,31,9,1,1,1,5,0,0,0,0,0,1,0,5,11,69,2143
Car Car Cs3 Nd0,188,175,169,143,191,202,234,164,152,145,194,215,210,181,149,188,208,180
Car Car Cs3 O_a,81,89,95,85,137,117,90,59,103,88,60,104,126,110,87,87,78,72
Cs3 O_a Cs3 Car,3,0,1,4,4,13,36,46,24,15,7,10,9,10,11,17,27,29
Cs3 Car Car O_a,882,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,138
Cs3 Nd0 Cs2 Nd0,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,44,314
Cs2 Nd0 Cs3 Car,1,0,0,1,4,13,48,140,208,200,165,115,65,46,50,41,39,28
Cs2 Nd0 Car Nac,72,30,19,19,10,6,5,1,2,8,9,10,6,33,64,86,156,323
Nd0 Cs2 Nd0 Car,41,14,1,0,0,0,0,0,0,0,0,0,0,0,1,16,70,644
Nd0 Cs3 Cs3 O_d,9,4,7,14,40,133,338,138,28,9,7,7,4,6,8,13,36,183
Nd0 Cs3 Cs3 Cs3,25,22,42,67,182,502,472,245,116,87,81,68,70,64,76,108,383,619
Cs3 Cs3 Nd+ Cs3,25,36,37,46,89,161,192,183,136,120,109,106,102,133,132,217,267,355
O_d Cs3 Cs3 Cs3,38,20,35,84,290,659,492,213,106,53,32,29,28,25,30,85,166,259
O_d Cs3 Cs3 Nd+,3,11,22,37,67,113,51,23,20,12,10,5,3,10,15,46,19,7
Cs3 Nd+ Cs3 Cs2,6,5,2,6,20,45,88,43,25,28,22,7,10,12,20,14,16,22
Cs2 Nd0 Cs3 Cs2,3,1,2,11,35,96,134,128,111,121,132,206,212,215,177,173,78,72
Nd0 Cs3 Cs2 .=O,233,247,282,311,256,187,92,121,88,56,50,49,60,97,174,234,191,216
Nd0 Cs3 Cs2 Nd0,28,25,35,26,19,10,25,18,38,64,69,56,105,127,106,70,37,23
Car Car Cs2 Nac,85,41,63,87,92,182,166,162,120,109,163,169,170,114,78,66,52,83
Car Car Cs2 .=O,2392,1549,1212,874,720,632,460,374,281,283,377,466,635,723,871,1217,1478,2304
Car Car Car Cs2,641,32,5,2,0,2,4,7,0,0,0,1,1,2,4,20,153,14258
Cs2 Car Car Cs3,615,163,45,32,7,1,3,0,1,0,0,0,0,0,0,0,0,2
Cs2 Nac C3r C3r,3,3,5,5,5,15,25,18,41,81,180,469,569,429,313,415,433,565
Car Cs2 Nac C3r,408,82,29,18,9,5,3,2,2,3,0,4,6,6,8,17,65,491
C3r Nac Cs2 .=O,1594,184,65,33,13,17,13,6,7,4,5,14,18,28,44,83,194,1415
Nac Nac Car Nd0,132,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,544
Nac C3r C3r Nac,67,43,65,131,319,681,163,13,3,5,1,11,31,19,11,13,7,43
Nd0 Nd0 Car Car,14,6,2,0,0,1,0,0,0,0,0,0,0,0,1,3,2,15
Car Nd0 Nd0 Car,11,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,5,7
Car Car Car O_d,385,18,0,0,0,0,0,0,0,0,0,0,0,0,0,2,38,5295
O_d Car Car O_a,164,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
SO2 Car Car Car,161,5,3,0,0,0,0,0,0,0,0,0,0,0,0,2,71,5247
Nd0 SO2 Car Car,136,74,78,116,207,215,234,212,173,163,214,220,205,204,124,70,81,127
.=O SO2 Car Car,658,765,1049,816,572,493,439,350,243,253,352,449,488,571,767,1051,820,692
Nd0 Cs2 Nd0 SO2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,67
Cs2 Nd0 SO2 .=O,6,6,17,39,45,59,54,21,7,2,1,1,1,4,8,39,53,75
Cs2 Nd0 SO2 Car,3,3,4,21,20,26,23,21,8,0,0,0,0,0,0,0,0,2
.=O Cs2 Nd0 SO2,191,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
Car Car C2r Nac,537,76,48,106,59,12,18,6,1,0,7,17,13,59,103,60,65,538
Car Car C2r .=O,1068,141,75,73,35,17,10,9,2,5,8,10,13,40,81,82,124,1125
Car C3r C2r Nac,43,6,2,0,0,0,2,7,1,0,5,31,15,4,0,2,1,17
Car Car Nd0 Car,6492,456,344,233,196,170,116,80,75,76,96,114,158,179,244,342,521,3182
Car C2r Nac C2r,225,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
Nac Car Car C2r,166,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,242
Nac Car Nd0 Car,2591,337,106,50,5,10,6,4,8,0,3,3,8,7,31,108,253,1234
Nac Car C3r C2r,10,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
Car Nac Car C3r,299,23,3,0,0,0,0,0,0,0,0,0,0,1,0,0,10,793
