,smarts,count,group
66,[!#1]~1~[!#1]~[!#1!#6]~C~2(~[!#1!#6]~1)~[!#1!#6]~[!#1]~[!#1!#6]~[!#1!#6]~2,1,simplified
67,[!#1]#[#6]-[#6]#[#6]-[#6]#[!#1],1,simplified
68,"[#16+,#16-]",1,simplified
69,[!#1]~1~[!#1]~[!#1]~[!#1!#6]~2~[!#1]~[!#1]~3~[!#1]~[!#1]~[!#1]~[!#1]~[!#1!#6]~3~[!#1]~[!#1]~2~[!#1]~1,1,simplified
70,[#8-]-[#7+]=[#8],1,simplified
71,[!#1!#6]~[!#1]~1~[!#1!#6]~[!#1!#6]~[!#1]~2~[!#1]~3~[!#1]~[!#1]~[!#1]~[!#1]~[!#1]~3~[!#1!#6]~[!#1]~[!#1!#6]~[!#1]~2~[!#1!#6]~1,1,simplified
72,[!#1!#6]=[!#1]~1~[!#1!#6]~[!#1]~3~[!#1](~[!#1]~2~[!#1]~1~[!#1!#6]~[!#1!#6]~[!#1!#6]~2)~[!#1](~[!#1!#6]~[!#1]~[!#1!#6]~3)=[!#1!#6],1,simplified
73,[!#1]@[#7]~1~[!#1]~[!#1!#6]~[#8]~[#7]~1@[!#1!#6],1,simplified
74,[!#1]~2~[!#1]~[!#1]~[!#1]~1~[!#1]~3~[!#1](~[!#1]~[!#1]~[!#1]~1)~[!#1]~[!#1]~[!#1](~[!#1]~[!#1]~[!#1]~2)~[!#1]~3,1,simplified
75,[!#1!#6]=[!#1]~4~[!#1!#6]~[!#1](=[!#1!#6])~[!#1]~1~[!#1]~4~[!#1]~2~[!#1]~[!#1]~[!#1]~1~[!#1]~3~[!#1]~2~[!#1]~3,1,simplified
76,[#6](~[#16v2X2])~[#8],1,simplified
77,[#8R1X2]@[#6R2]@[#8R1X2],1,simplified
78,[#16R1X2]@[#6R2]@[#16R1X2],1,simplified
79,"[#8,#7,#16]:1:[#6R1]:[#6](:[#6](:[#6R1]:1)@[!#1])@[!#1]",1,simplified
80,[!#1]~2~1~[!#1]~[!#1]~[!#1](~[!#1]~[!#1]~[!#1]~1)~[!#1]~[!#1]~2,1,simplified
81,"[!#1!#6!$([#7,#8,#16]:1:[#7]:[#6]:[#6]:[#7]:1)]~1~[!#1!#6!$([#7,#8,#16]:1:[#6]:[#6]:[#7]:[#7]:1)]~[#6]~[#6]~[!#1!#6!$([#7,#8,#16]:1:[#6]:[#6]:[#7]:[#7]:1)]~1",1,simplified
82,"[#8]-[F,Cl,Br,I]",1,simplified
83,[#8]=[!#1][!#1](=[#8])[!#1]=[#8],1,simplified
84,[#7]~1~[#7]~[!#1]~[!#1]~[!#1]~[!#1]~[!#1]~1,1,simplified
85,[!#1]~2~1~[!#1]~[!#1]~[!#1](~[!#1]~1)~[!#1]~[!#1]~[!#1]~[!#1]~2,1,simplified
