,smarts,count,group
67,[#16X2]@1@[!#1]@[!#1]@[!#1]@[!#1!#6]@[!#1!#6]@1,1.0,simplified
68,[!#1]~[#7+](:[!#1]):[!#1],1.0,simplified
69,[#6]1([#7][!#1][!#1][#7]=1)!@-[#16],1.0,simplified
70,[H][!#1]~1~[!#1]~[!#1]~[#8]-[#6](!@-[#7])=[#7]~1,1.0,simplified
71,[H][#6]-1-[#6](!@=[!#1!#6])-[#6]~[#6]-[#6]-1!@=[!#1!#6],1.0,simplified
72,[!#1!#6]=[#6]-1[!#1!#6][!#1](=[!#1!#6])-[!#1]=[!#1]-1,1.0,simplified
73,[!#1]:1:[!#1]:[#6]2:[#6](:[!#1]:[!#1]:1)[#6][#6]:3:[#6]2:[!#1]:[!#1]:[!#1]:[!#1]:3,1.0,simplified
74,"[#8,#16]1[!#1]:3:[!#1]([!#1][!#1]:2:[!#1]:[!#1]:[!#1]:[!#1]:[!#1]:21):[!#1]:[!#1]:[!#1]:[!#1]:3",1.0,simplified
75,[H][#7]([H])!@-[!#1]=S,1.0,simplified
76,"[!#1]@[!#1]([H])@[#7]([H])@[!#1](!@=[!#1!#6])@[#8,#16]@[!#1][H]",1.0,simplified
77,[!#1]@[#6](@[!#1])@[#6]@1@[#6](@[!#1])@[!#1]@[#6](@[!#1])@[#6](@[!#1])~[#6]@1@[!#1],1.0,simplified
78,[#8]@[#16]@[#8],1.0,simplified
79,[!#1](~[!#1](~[#8])~[#8])(~[#8])~[#8],1.0,simplified
80,[!#1]@-[!#1]-1-[!#1]-[!#1]-[!#1]~2-[!#1]-[!#1]-[!#1]-[!#1]-[!#1]~2-[!#1]-1@-[!#1],1.0,simplified
81,[H]C([H])([H])!@-[#6](~[!#1!#6]~[#6](!@-C([H])([H])[H])!@-C([H])([H])[H])!@-C([H])([H])[H],1.0,simplified
82,"[H][#6]([H])-[#7]-1-[#6]-[#6]-[#7,#8]-[#6]([H])-[#7]-1-[#6]([H])[H]",1.0,simplified
83,"[F,Cl,Br,I]-[!#1]~[!#1](-[F,Cl,Br,I])~[!#1]-[F,Cl,Br,I]",1.0,simplified
84,[!#1]@[!#1]~1~[!#1](~[!#1](~[!#1](~[!#1](~[!#1]~1@[!#1])@[!#1])@[!#1])@[!#1])@[!#1],1.0,simplified
85,"[H][#6]([H])~[#7]-1-[#6]([H])-[#7,#8]-[#6]-[#6]-[#7]-1[H]",1.0,simplified
86,O=S(=O)!@-[!#1]:[!#1]:[!#1]!@-S(=O)=O,1.0,simplified
87,[!#1]~1~[#16]~[!#1]~[!#1]~[#16]~[!#1]~1,1.0,simplified
88,[#8]!@-[#6](=O)!@-[!#1]!@-[#6](!@-[#8])=O,1.0,simplified
89,O=[#6]1[#6]:2:[#6]([#6]([#6]1)=O):[!#1]:[!#1]:[!#1]:[!#1]:2,1.0,simplified
90,"[H][#6]~[#7]1[#7]([#6](C([#8,#7][#6]1[H])([H])[H])[H])!@[#6][H]",1.0,simplified
91,"[O,SX2]1CCC1([O,SX2])C",1.0,simplified
92,O1[#6]~[#6]C2C1[#6]~[#6]O2,1.0,simplified
93,[!#1!#6]@[!#1!#6]@[!#1]!@=S,1.0,simplified
94,[!#1!#6][!#1!#6][!#1]([!#1!#6])!@=[#7],1.0,simplified
95,[#8]=[#16]-[!#1]-[#16]=[#8],1.0,simplified
96,[!#1!#6]!@=[!#1]-1-[!#1]-[!#1](!@=[!#1!#6])-[!#1]-[!#1](!@=[!#1!#6])-[!#1]-1,1.0,simplified
97,[!#1!#6]!@=[!#1]-1-[#6]~[#6]~[#6]-[!#1](!@=[!#1!#6])-[#6]-1,1.0,simplified
98,[#16]@[!#1!#6]@[#16],1.0,simplified
99,[!#7]~[#6](!@=[!#1!#6])@-C([H])([H])@-[#6](~[!#7])!@=[!#1!#6],1.0,simplified
100,"[#8,#16]@-[#6](@-[!#1])!@=S",1.0,simplified
101,"[#7]-1-[#16]-[!#1]-[#8,#16]-[!#1]-[!#1]-1",1.0,simplified
102,[H][#6]-1-[#8]C([!#1])([!#1])[!#1]([H])-[#7]-1[H],1.0,simplified
103,"[H][#6]!@[#7]-1-[#6]([H])-[#8,#7]C([H])([H])[#6]([H])-[#7]-1[H]",1.0,simplified
104,[#16]~[#6]~1~[!#1]~[#6](~[#16])~[!#1!#6]~[!#1!#6]~1,1.0,simplified
105,[#7]!@[!#1](~[!#1]!@=[!#1!#6])=[#7]@[#6]([H])[H],1.0,simplified
106,"[!#1][#7+]#[!#1,!#1-]",1.0,simplified
107,[H][#6]([H])~[#7]1-[#7]~[!#1]-[#7]([H])C1([H])[H],1.0,simplified
108,[#16](@[!#1]@[!#1]@[#16](=O)=O)(=O)=O,1.0,simplified
109,"[#8-,#8]-[#7+,#7]=[#7]",1.0,simplified
110,[#7]@[!#1](@[#8])@[#7]@[#16],1.0,simplified
111,[H][#6]([H])C([H])([#7]-[#6]=O)[#6](=O)-[#7]-[#8],1.0,simplified
112,[H][#6](-[#6])!@=[#6]([H])[#6]([H])!@=[#6]([H])-[#6]([H])!@=[#6],1.0,simplified
113,"[F,Cl,Br,I]-[#6](-[F,Cl,Br,I])-[#6](-[F,Cl,Br,I])-[F,Cl,Br,I]",1.0,simplified
114,"[!#1]@[!#1]~1~[!#1]([#6](-,=[#6]2[!#1](~[!#1]~1)=[!#1][!#1]([H])[!#1]2[H])[H])@[!#1]",1.0,simplified
115,[#6]1[#8][#6]:2:[#6]([#8][#6]1):[#6]:[#6]:[#6]:[#6]:2,2.0,simplified
116,"[#8-,#8]-[#7+,#7](=[#8])-[#6]!@=[!#1]",1.0,simplified
117,[H][!#1]@-[#7]1-[!#1]-[!#1]-[#16][#6]-1=[#7]@[!#1],1.0,simplified
118,[#7+]~[#7-],1.0,simplified
119,[!#1!#6]!@=[!#1]!@-[#6]-1=[!#1]-[!#1]-[!#1]=[#6](-[!#1]-1)!@-[!#1]!@=[!#1!#6],1.0,simplified
120,[!#1]~1~[!#1]~4~[!#1](~[!#1]~2~[!#1]~[!#1]~[!#1]~[!#1]~[!#1]~2~1)~[!#1]~[!#1]~3~[!#1](~[!#1]~[!#1]~[!#1]~[!#1]~3)~[!#1]~4,1.0,simplified
121,[!#1]~1~[!#1]~[!#1]~2~[!#1]~[!#1]~[!#1]~3~[!#1!#6]~[!#1!#6]~[!#1!#6]~[!#1]~3~[!#1]~2~[!#1]~1,1.0,simplified
122,[H][#6]1[#7]([#7]=[#6]([#7]([#6]1[H])[H])!@-*)[H],1.0,simplified
123,[#16]!@=[!#1]~1~[!#1]~[!#1]~[!#1!#6]~[!#1!#6]~1,1.0,simplified
124,[H][#6]([H])[#7]1[#6]([#16X2][#6]~[#6][#7]1[H])[H],1.0,simplified
125,[#16]!@[#6]~1~[#7]~[!#1]~[!#1]~[#6](!@[#16])~[#7]~1,1.0,simplified
126,[#7+](=[#6])(-[#6])!@-[#6],1.0,simplified
127,[#16]@[#8]@[!#1]!@=O,1.0,simplified
128,[!#1]:[!#1]!@[!#1]~1~[!#1]~[!#1](~[!#1]~[!#1](~[!#1]~1)!@[!#1]:[!#1])!@[!#1]:[!#1],1.0,simplified
129,[H][#6]-1-[#7]=[#6](!@-[!#1])-[#7]([H])-[#7]([H])-[#6]([H])-1,1.0,simplified
130,[!#1!#6]!@=[!#1]~1~[#7]~[!#1]~2~[!#1!#6]~[!#1]~[!#1]~[!#1!#6]~[!#1]~2~[#7]~1,1.0,simplified
131,"[H][!#1]@-,-[#7]-,:1-,:[#6](-,:[#16][!#1][!#1][!#1]-,:1)=,:[#7]@[!#1]",1.0,simplified
132,[H][#6]([H])[#7]1[#7]([#6]([#16X2][#6][#6]1)[H])[H],1.0,simplified
133,"S!@=[!#1]~1~[#8,#16]~[!#1]~[!#1]~[!#1]~1",1.0,simplified
134,"[#8][#6](=O)[#6](=,:[!#1])-,:[#6](=,:[!#1])[#6]([#8])=O",1.0,simplified
135,[#16]@-[!#1]!@=S,1.0,simplified
136,[H][#6]1[#7]([#7]([#6][#6][#16X2]1)[H])[H],1.0,simplified
137,O=S(=O)~S(=O)=O,1.0,simplified
138,[#16]~[#6](~[#16])!@=[#6],1.0,simplified
139,"[#6]1([#16][!#1]=,:[!#1][!#6!#1]1)!@=[#7]",1.0,simplified
140,"[#16]!@-[#6]~1~[!#1!#6]~[!#1](~[#8,#16]~[!#1]~1)=,:[!#1!#6]",1.0,simplified
141,"[!#1]!@=[!#1]~1~[!#1](~[!#1!#6]~[!#1](~[!#1!#6]~1)=,:[!#1!#6])=,:[!#1!#6]",1.0,simplified
142,[!#1]=[!#1]~1~[!#1]~3~[!#1](~[!#1]~[!#1]~1)~[!#1]~2~[!#1]~[!#1]~3~[!#1]~[!#1]~2,1.0,simplified
143,[!#1]!@[#16X2]!@[!#1]:[!#1]-[#7+](-[#8-])=O,1.0,simplified
144,[H][#7]([H])~[!#1]~[!#1]~[#7+](-[#8-])=O,1.0,simplified
145,[#16]-1-[!#1]-[!#1]-[#7]-2-[!#1]-[!#1]-[#7]=[#6]-1-2,1.0,simplified
146,"[!#1]-[#7+,#7]([H])=[!#1]",1.0,simplified
147,[#6]-[n+](:[!#1]):[!#1],1.0,simplified
148,[H][#6]([H])-[#7]-1-[#6]-[#6]-[#16X2]-[#6]([H])-[#7]-1-[#6]([H])[H],1.0,simplified
149,"[#6]!@=[#6]~1~[!#1](~[!#1!#6]~[!#1](~[!#1!#6]~1)=[!#1!#6])=,:[!#1!#6]",1.0,simplified
150,[H][#6]-1-[#7]=[#6](!@-[!#1])-[#7]([H])-[#6]([H])-[#7]-1[H],1.0,simplified
151,[#7][#6](-[#16])=[#7][#16]=O,1.0,simplified
152,O=S(=O)@[!#1]@S(=O)=O,1.0,simplified
153,"[#7]~C(~[#8])(~[#8])~[!#1]~[F,Cl,Br,I]",1.0,simplified
154,[!#1]~1~[!#1]~[!#1!#6]~C~2(~[!#1!#6]~1)~[!#1!#6]~[!#1]~[!#1!#6]~[!#1!#6]~2,1.0,simplified
155,[!#1]#[#6]-[#6]#[#6]-[#6]#[!#1],1.0,simplified
156,"[#16+,#16-]",1.0,simplified
157,[!#1]~1~[!#1]~[!#1]~[!#1!#6]~2~[!#1]~[!#1]~3~[!#1]~[!#1]~[!#1]~[!#1]~[!#1!#6]~3~[!#1]~[!#1]~2~[!#1]~1,1.0,simplified
158,[#8-]-[#7+]=[#8],1.0,simplified
159,[!#1!#6]~[!#1]~1~[!#1!#6]~[!#1!#6]~[!#1]~2~[!#1]~3~[!#1]~[!#1]~[!#1]~[!#1]~[!#1]~3~[!#1!#6]~[!#1]~[!#1!#6]~[!#1]~2~[!#1!#6]~1,1.0,simplified
