model_name,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__C,param_preprocess__cat__imputer__strategy,param_preprocess__num__imputer__strategy,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,param_model__l2_regularization,param_model__learning_rate,param_model__max_iter,param_model__max_leaf_nodes,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators
hist_gradient_boosting,1.2232783794403077,0.17237936503648127,0.10465879440307617,0.020824546071626305,,most_frequent,median,"{'model__l2_regularization': 0.0, 'model__learning_rate': 0.06, 'model__max_iter': 250, 'model__max_leaf_nodes': 31, 'preprocess__cat__imputer__strategy': 'most_frequent', 'preprocess__num__imputer__strategy': 'median'}",0.9386658094025802,0.9172705279149624,0.9403645910050423,0.9379179842748188,0.9451905077367835,0.9358818840668374,0.009643896082666767,1,0.9835037880081817,0.9828658997159366,0.989904501630031,0.9827670053942552,0.9816835195285457,0.9841449428553901,0.0029386005039799784,0.0,0.06,250.0,31.0,,,,
hist_gradient_boosting,0.9496985912322998,0.2209113890981907,0.08188867568969727,0.021477742881302105,,most_frequent,median,"{'model__l2_regularization': 0.0, 'model__learning_rate': 0.08, 'model__max_iter': 250, 'model__max_leaf_nodes': 31, 'preprocess__cat__imputer__strategy': 'most_frequent', 'preprocess__num__imputer__strategy': 'median'}",0.9352623699551548,0.9143947003568565,0.9406146333830601,0.9358830584577815,0.9429464244047732,0.9338202373115252,0.010130523900157541,2,0.9834854665333697,0.9833737995897616,0.9906874949937254,0.9765204725949223,0.9782171577987214,0.9824568783021,0.004956973515941311,0.0,0.08,250.0,31.0,,,,
random_forest,22.0772656917572,4.980288762769435,0.26111502647399903,0.07589635368735204,,most_frequent,median,"{'model__max_depth': 12, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 160, 'preprocess__cat__imputer__strategy': 'most_frequent', 'preprocess__num__imputer__strategy': 'median'}",0.9208620651501463,0.901164233903207,0.929397015138732,0.9257113159627958,0.9398955391116134,0.9234060338532988,0.012761499973069662,1,0.9952162064949244,0.9952361832980563,0.9951865722756905,0.9949089888275349,0.9944641563400236,0.9950024214472458,0.00029418332964364913,,,,,12.0,sqrt,1.0,160.0
extra_trees,5.929551315307617,1.3379426759610253,0.3631448268890381,0.08566746717112232,,most_frequent,median,"{'model__max_depth': 12, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 200, 'preprocess__cat__imputer__strategy': 'most_frequent', 'preprocess__num__imputer__strategy': 'median'}",0.9204699943137702,0.8995300441717107,0.9244946874144291,0.919694579512811,0.9288271495354754,0.9186032909896392,0.010076706520664813,1,0.9762093354678442,0.978780805246199,0.9752179262874334,0.9740424619737482,0.9741119019194061,0.9756724861789262,0.0017463608686904039,,,,,12.0,sqrt,1.0,200.0
logistic_regression,0.9790643215179443,0.1532686239661447,0.04127211570739746,0.0020333746166543813,1.0,most_frequent,median,"{'model__C': 1.0, 'preprocess__cat__imputer__strategy': 'most_frequent', 'preprocess__num__imputer__strategy': 'median'}",0.8855424961490466,0.8708275725379154,0.8879926052170115,0.8933893235612633,0.9006761596996408,0.8876856314329755,0.00990118518158248,1,0.8899113216541594,0.8933013813835216,0.8893696240429145,0.8881831180047944,0.886789782057588,0.8895110454285957,0.002177867456644461,,,,,,,,
